Industry,Year,Country,Code,GDP,Growth,CPI,Imports,Exports,Population,name,Turnover
Newspaper and book retailing,1982,Australia,AUS,193721725697.893,3.32811935127086,33.4287200832466,16.8337415275958,13.5410377627157,15178000,Turnover,1263
Newspaper and book retailing,1982,Australia,AUS,193721725697.893,3.32811935127086,33.4287200832466,16.8337415275958,13.5410377627157,15178000,Adjusted_turnover,3778.188326848251
Newspaper and book retailing,1983,Australia,AUS,176986429574.169,-2.22014376028406,36.7845993756504,15.6274126169954,13.5947332240495,15369000,Turnover,1799.5
Newspaper and book retailing,1983,Australia,AUS,176986429574.169,-2.22014376028406,36.7845993756504,15.6274126169954,13.5947332240495,15369000,Adjusted_turnover,4891.99292786421
Newspaper and book retailing,1984,Australia,AUS,193194167723.239,4.58113977595602,38.2414151925078,15.0090237899918,13.5802179772647,15544000,Turnover,2011.3
Newspaper and book retailing,1984,Australia,AUS,193194167723.239,4.58113977595602,38.2414151925078,15.0090237899918,13.5802179772647,15544000,Adjusted_turnover,5259.481088435374
Newspaper and book retailing,1985,Australia,AUS,180190994860.781,5.2492064621253,40.8168574401665,17.3096651980504,15.2599876551093,15758000,Turnover,2108.7
Newspaper and book retailing,1985,Australia,AUS,180190994860.781,5.2492064621253,40.8168574401665,17.3096651980504,15.2599876551093,15758000,Adjusted_turnover,5166.247801147226
Newspaper and book retailing,1986,Australia,AUS,181977476217.124,4.05513490026313,44.5109261186264,18.086140954431,15.0137418077684,16018400,Turnover,2263.3
Newspaper and book retailing,1986,Australia,AUS,181977476217.124,4.05513490026313,44.5109261186264,18.086140954431,15.0137418077684,16018400,Adjusted_turnover,5084.818936294569
Newspaper and book retailing,1987,Australia,AUS,189041159343.568,2.50532414245347,48.309053069719,17.0940111103721,15.4943135477231,16263900,Turnover,2533.9
Newspaper and book retailing,1987,Australia,AUS,189041159343.568,2.50532414245347,48.309053069719,17.0940111103721,15.4943135477231,16263900,Adjusted_turnover,5245.186645126553
Newspaper and book retailing,1988,Australia,AUS,235699941792.782,5.68105349873713,51.7950052029136,16.6447494335476,15.9841455057324,16532200,Turnover,2557.4
Newspaper and book retailing,1988,Australia,AUS,235699941792.782,5.68105349873713,51.7950052029136,16.6447494335476,15.9841455057324,16532200,Adjusted_turnover,4937.541737820194
Newspaper and book retailing,1989,Australia,AUS,299317645142.904,3.86759656499176,55.6971904266389,16.9791507976235,15.1458682452284,16814400,Turnover,2859.1
Newspaper and book retailing,1989,Australia,AUS,299317645142.904,3.86759656499176,55.6971904266389,16.9791507976235,15.1458682452284,16814400,Adjusted_turnover,5133.293040635219
Newspaper and book retailing,1990,Australia,AUS,310838014621.008,3.5645510463558,59.7814776274714,17.0703629800908,15.1435630573312,17065100,Turnover,2891.4
Newspaper and book retailing,1990,Australia,AUS,310838014621.008,3.5645510463558,59.7814776274714,17.0703629800908,15.1435630573312,17065100,Adjusted_turnover,4836.615143603131
Newspaper and book retailing,1991,Australia,AUS,325358292127.776,-0.387546485670072,61.6805411030177,16.1917214061886,16.05904390178,17284000,Turnover,2843.3
Newspaper and book retailing,1991,Australia,AUS,325358292127.776,-0.387546485670072,61.6805411030177,16.1917214061886,16.05904390178,17284000,Adjusted_turnover,4609.719611978067
Newspaper and book retailing,1992,Australia,AUS,324878105052.68,0.442615830244435,62.3048907388137,16.4189385923175,16.6914039660164,17495000,Turnover,2910.6
